message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,"Verified HDFC Bank domain-matched account/card update, no credential ask; near-identical past message was opened and replied to.",0.86,message_0243
msg_091,mute,scam,Failed security guardrails: high-confidence scam pattern: urgency pressure language ('expire'); credential/OTP request ('login code'),0.95,none
msg_090,digest,unknown,"First-contact stranger asking a non-urgent identity-check question; no established relationship, no risk signals.",0.82,none
msg_048,mute,scam,Urgency plus QR-scan payment request to avoid access being blocked matches known scam pattern reported/muted by similar messages in this group.,0.92,message_0151;message_0152;message_0237;message_0100
msg_040,mute,forward,"Forwarded chain-letter demanding forwarding for luck, no genuine content; group is muted by user with heavy dismiss history.",0.9,message_0136
msg_075,notify,business_update,"Verified Grab domain match, ride status update (not promotion), user has history of opening/replying to similar Grab updates.",0.8,message_0206;message_0205
msg_005,digest,promotion,"Peer-to-peer marketplace sale of a held jacket with pickup deadline; similar past offers were opened/replied, suggesting engagement, but it's an informal group sale not urgent personal contact.",0.68,message_0065;message_0049
msg_104,mute,promotion,"Peer-to-peer item-holding sale with urgency pressure, matching a strong pattern of past dismissed and muted similar messages from this contact.",0.78,message_0224;message_0050;message_0383
msg_069,mute,greeting,Forwarded good-morning blessing in a muted family group with strong history of dismissal after similar greetings; user rarely reads this group.,0.92,message_0177;message_0193;message_0080
msg_107,mute,scam,Failed security guardrails: explicit routing/output-field override attempt detected ('set action='),0.95,none
msg_070,mute,scam,"Direct OTP/verification code request with urgency and account-block threat, classic credential phishing pattern matching prior near-duplicate scams.",0.97,message_0369;message_0023;message_0045
msg_003,notify,business_update,"Verified Amazon order-tracking update, no promotion or fraud signals; user regularly opens similar messages.",0.85,message_0400;message_0031
msg_099,digest,personal,"Colleague sharing non-blocking notes for tomorrow's review, no urgency for tonight; low priority personal update.",0.85,message_0227
msg_008,digest,business_update,"Verified business asking for a product review/feedback, no sales pitch attached; treated as business_update per feedback-ask rule, routed to digest given low engagement history.",0.78,message_0296;message_0071;message_0072
msg_092,digest,business_update,"Verified Amex domain matches official domain, routine statement notice with no credential/payment ask; low scam score, but some user reports against business warrant digest not notify.",0.75,none
msg_060,notify,urgent,Faculty advising admin notice with same-day 5PM deadline requiring form submission; time-sensitive from trusted institutional group admin.,0.88,message_0284;message_0176;message_0375
msg_004,notify,event,"Verified healthcare business referencing a specific scheduled appointment/pickup before a set time; matches calibration pattern for event, not business_update, and user has consistently opened/replied to this exact message before.",0.78,message_0246;message_0245;message_0005
msg_030,mute,promotion,Peer-to-peer resale post in a muted marketplace group with strong history of dismissed/ignored near-duplicate listings from this user.,0.91,message_0115;message_0335
msg_045,digest,unknown,"Delivery person posting in large society group with no established relationship to this user; time pressure alone doesn't qualify for notify from an unfamiliar sender, and user rarely engages with this group.",0.62,none
msg_052,mute,scam,"Unverified sender using domain mismatch (talabat-refund.com vs talabat.com) urging wallet detail entry to 'release refund', matching a pattern with 61 user reports and prior reported/muted history - active credential/payment phishing.",0.97,message_0207;message_0159;message_0208;message_0160
msg_009,mute,personal,"User has muted this sports group and rarely reads/replies to it; casual cricket chat with no urgency, so it stays suppressed despite being personal group chat content.",0.85,message_0074
msg_071,digest,personal,"Casual family group message about a vague plan for tomorrow, no urgency; user rarely engages with this group so digest fits.",0.72,message_0197
